spw.put("ZCNR035L元一柏庄一期西门","14152");
spw.put("ZCNR015L玫瑰恬园东门中进","14151");
spw.put("HCN105KD中环西路富悦北非机动车 北向南","14150");
spw.put("HCN091KD龙腾路丽丰新天地 西向东","14149");
spw.put("HCN067KD城南路清华路口南东B","14148");
spw.put("ZTHR036L  绿城绿岸禾风小区二期东门进","14147");
spw.put("HTH028KD东方路韩泰门口非机动车北向南","14146");
spw.put("HTH031KD东方路官荡大桥南堍机动车北向南","14145");
spw.put("HTH073KD纵一路尚东名邸机动车西向东","14144");
spw.put("HTH059KD塘汇卫生院1东向西","14143");
spw.put("HCN068KD翠柳路长新公寓南A","14142");
spw.put("HCN867RD望湖公馆北门","14141");
spw.put("HCN865RD金港湾大酒店门口","14140");
spw.put("HCN863RD长新公寓一期西门2","14139");
spw.put("HCN862RD长新公寓一期西门1","14138");
spw.put("HJB388RH海派秀城西侧人行道","14137");
spw.put("ZTHR037L  绿城绿岸禾风小区二期东门出","14136");
spw.put("ZTHR035L  绿城绿岸禾风小区二期北门人行通道出","14135");
spw.put("ZTHR034L  绿城绿岸禾风小区二期北门人行通道进","14134");
spw.put("ZTHR033L  绿城绿岸禾风小区二期北门出","14133");
spw.put("ZTHR032L  绿城绿岸禾风小区二期北门进","14132");
spw.put("HTH033KD正原路佳丽电子门口机动车北向南","14131");
spw.put("HTH032KD东方路官荡大桥南堍非机动车北向南","14130");
spw.put("HTH030KD东方路官荡大桥南堍非机动车南向北","14129");
spw.put("HTH029KD东方路官荡大桥南堍机动车南向北","14128");
spw.put("HTH027KD东方路韩泰门口机动车北向南","14127");
spw.put("HTH026KD东方路韩泰门口非机动车南向北","14126");
spw.put("HTH025KD东方路韩泰门口机动车南向北","14125");
spw.put("HTH550RH三环北路东方路入口处1","14124");
spw.put("HTH539RH嘉兴市茶园小学","14123");
spw.put("HCN108RL第一医院门口","14122");
spw.put("HCN062RL第一医院急症","14121");
spw.put("HJB162RL凯旋路-永兴路改","14120");
spw.put("HJB094RL开发区管委会大厅内1","14119");
spw.put("HCS113RL石堰路农贸市场门口2","14118");
spw.put("HCS368RY高铁南站旅客出站口","14117");
spw.put("HTH074KD中环北路东方钢帘线厂南非机动车东向西","14116");
spw.put("HTH072KD纵一路尚东名邸机动车东向西","14115");
spw.put("HTH071KD中环东路周安路机动车南向北","14114");
spw.put("HTH070KD中环东路周安路机动车南向北","14113");
spw.put("HTH069KD中环东路周安路非机动车南向北","14112");
spw.put("HTH068KD城东路麦德龙非机动车西向东","14111");
spw.put("HTH067KD城东路麦德龙非机动车东向西","14110");
spw.put("HTH066KD章园路章氏茶园西西向东","14109");
spw.put("HTH065KD章园路章氏茶园西东向西","14108");
spw.put("HTH064KD三环东路周安路非机动车南向北","14107");
spw.put("HTH063KD三环东路周安路机动车南向北","14106");
spw.put("HTH062KD三环东路周安路非机动车北向南","14105");
spw.put("HTH061KD三环东路周安路机动车北向南","14104");
spw.put("HTH060KD塘汇卫生院2东向西","14103");
spw.put("HTH058KD塘汇卫生院2西向东","14102");
spw.put("HTH057KD塘汇卫生院1西向东","14101");
spw.put("HTH056KD塘汇路建校2西向东","14100");
spw.put("HTH055KD塘汇路建校1西向东","14099");
spw.put("HTH054KD塘汇路建校2东向西","14098");
spw.put("HCN104KD中环西路富悦北 北向南2","14097");
spw.put("HCN103KD中环西路富悦北 北向南1","14096");
spw.put("HCN102KD桐乡大道丰华路北200米非机动车 北向南","14095");
spw.put("HCN101KD桐乡大道丰华路北200米 北向南","14094");
spw.put("HCN100KD桐乡大道丰华路北200米非机动车 南向北","14093");
spw.put("HCN099KD桐乡大道丰华路北200米 南向北","14092");
spw.put("HCN098KD昌盛南路兴旺路西100m非机动车 东向西","14091");
spw.put("HCN097KD昌盛南路兴旺路西100m 东向西","14090");
spw.put("HCN096KD昌盛南路兴旺路西100m非机动车 西向东","14089");
spw.put("HCN095KD昌盛南路兴旺路西100m 西向东","14088");
spw.put("HCN094KD龙舟路元一柏庄二期北 东向西","14087");
spw.put("HCN093KD龙舟路元一柏庄二期北 西向东","14086");
spw.put("HCN092KD龙腾路丽丰新天地 东向西","14085");
spw.put("HCN090KD龙凤路丽丰新天地 西向东","14084");
spw.put("HCN089KD龙凤路丽丰新天地 东向西","14083");
spw.put("HCN088KD中环西路文昌路西 西向东","14082");
spw.put("HCN087KD中环西路文昌路西 东向西","14081");
spw.put("HCN086KD长水塘桥西北C","14080");
spw.put("HCN085KD长水塘桥西北B","14079");
spw.put("HCN084KD长水塘桥西北A","14078");
spw.put("HCN083KD长水塘桥西南C","14077");
spw.put("HCN082KD长水塘桥西南B","14076");
spw.put("HCN081KD长水塘桥西南A","14075");
spw.put("HCS894H嘉兴高铁站人行道","14074");
spw.put("HCN080KD骏力路城南中学门口B","14073");
spw.put("HCN079KD骏力路城南中学门口A","14072");
spw.put("HCN078KD长水路铁路桥洞西北B","14071");
spw.put("HCN077KD长水路铁路桥洞西北A","14070");
spw.put("HCN076KD长水路铁路桥洞西南B","14069");
spw.put("HCN075KD长水路铁路桥洞西南A","14068");
spw.put("HCN073KD中华南路中核大厦B","14067");
spw.put("HCN072KD中华南路中核大厦A","14066");
spw.put("HCN071KD长桥路长新公寓站台北B","14065");
spw.put("HCN069KD翠柳路长新公寓南B","14064");
spw.put("HCN066KD城南路清华路口南东A","14063");
spw.put("HCN065KD城南路清华路口南西B","14062");
spw.put("HCN064KD城南路清华路口南西A","14061");
spw.put("HCN063KD越秀路常睦路口南B","14060");
spw.put("HCN062KD越秀路常睦路口南A","14059");
spw.put("HCN567RY客运中心安检门","14058");
spw.put("HCS684RH府南花园1期东消防通道","14057");
spw.put("ZCSR79L龙湖1","14056");
spw.put("ZCSR91L龙湖13","14055");
spw.put("HTH053KD塘汇路建校1东向西","14054");
spw.put("HTH052KD塘汇路东方新家园2东向西","14053");
spw.put("HTH051KD塘汇路东方新家园1东向西","14052");
spw.put("HTH050KD塘汇路东方新家园2西向东","14051");
spw.put("HTH049KD塘汇路东方新家园1西向东","14050");
spw.put("HTH048KD中环北路锦绣路北向南","14049");
spw.put("HTH047KD中环北路锦绣路南向北","14048");
spw.put("HTH046KD锦绣路东方新家园门口西向东","14047");
spw.put("HTH045KD锦绣路东方新家园门口东向西","14046");
spw.put("HTH044KD和风路众恒汽配东向西","14045");
spw.put("HTH043KD和风路众恒汽配西向东","14044");
spw.put("HTH042KD和风路丽驰机械西向东","14043");
spw.put("HTH041KD和风路丽驰机械东向西","14042");
spw.put("HTH040KD320国道曙光路路东东向西","14041");
spw.put("HTH039KD320国道曙光路路东西向东","14040");
spw.put("HTH038KD岗山路立丰机械西向东","14039");
spw.put("HTH037KD岗山路立丰机械东向西","14038");
spw.put("HTH036KD正原路佳丽电子门口非机动车南向北","14037");
spw.put("HTH035KD正原路佳丽电子门口机动车南向北","14036");
spw.put("HTH034KD正原路佳丽电子门口非机动车北向南","14035");
spw.put("HTH555RH岗山路与平南路交叉口西北角","14034");
spw.put("HCX273RY第四交易区北门通道出口","14033");
spw.put("HTH575RH周家角路警犬基地桥","14029");
spw.put("HTH574RH昌盛东路合克萨斯精工西桥上2","14028");
spw.put("HTH573RH昌盛东路合克萨斯精工西桥上1","14027");
spw.put("HTH572RH茶园路与昌盛东路交叉口北50米","14026");
spw.put("HTH571RH茶园路与昌盛东路交叉口南50米","14025");
spw.put("HTH569RH周安路乌支港桥东堍2","14024");
spw.put("HTH568RH和风路和风丽景南桥上2-2","14023");
spw.put("HTH560RH中环北路与平南路交叉口西120米2-2","14022");
spw.put("HTH559RH中环北路与平南路交叉口西120米2-1","14021");
spw.put("HTH558RH和风路新禾家苑南出口往西100米","14020");
spw.put("HTH556RH岗山路与平南路交叉口东北角","14019");
spw.put("HTH553RH塘汇公园西到底","14018");
spw.put("HTH552RH禾新菜场西门-秀洲区和风路1229号","14017");
spw.put("HTH548RH鸣羊路正阳桥","14016");
spw.put("ZCNR016L玫瑰恬园东门中出","14015");
spw.put("HCX405RH三环西路京杭大运河桥下龙舟路交叉口桥上2-2","14014");
spw.put("HCX397RH新月公寓","10594");
spw.put("HCS613RY广益路庆丰路南桥面Q","5620");
spw.put("HCS593RY石堰苑北区东门出口Q","5619");
spw.put("HCS523RY绿溪玫瑰园三期北区大门Q","5618");
spw.put("HCS522RY绿溪玫瑰园一期南门Q","5617");
spw.put("HCS505RY玫瑰园二期南区北门Q","5616");
spw.put("HCS504RY玫瑰园二期北门Q","5615");
spw.put("HCS499RY府南东2区西门Q","5614");
spw.put("HCS498RY府南西2区东门Q","5613");
spw.put("HCS493RY长水路铁路桥洞北Q","5612");
spw.put("HJB345RY北大附属嘉兴实验学校Q","5611");
spw.put("HJB341RY皇家永利门口Q","5610");
spw.put("HJB321RY中山路财富广场马路边Q","5609");
spw.put("HJB300RY禾城天下北侧商铺Q","5608");
spw.put("HJB299RY禾城天下门口Q","5607");
spw.put("HJB298RY国际丝绸中心对面商铺Q","5606");
spw.put("HJB297RY阳光小区东大门Q","5605");
spw.put("HCN492RY区管委会大门6Q","5604");
spw.put("HCN491RY区管委会大门5Q","5603");
spw.put("HCN490RY区管委会大门4Q","5602");
spw.put("HCN480Y梁林帆一期北老运河桥南","5601");
spw.put("HCN476RY区管委会大门3Q","5600");
spw.put("HCN474RY区管委会大门1Q","5599");
spw.put("HCX285RY新月公寓南门进口2Q","5598");
spw.put("HCN532RY环球金殿门口Q","5597");
spw.put("HCX244RY水果三期南一门岗亭出口2","5596");
spw.put("HCX242RY水果三期南一门岗亭进口2","5595");
spw.put("HCX241RY水果市场三期南门岗亭进1","5594");
spw.put("HCX239RY水果市场三期南一门进口","5593");
spw.put("HCX246RY水果市场三期南二门进口2","5592");
spw.put("HCX248RY水果市场三期南二门出口2","5591");
spw.put("HCX247RY水果市场三期南二门出口1","5590");
spw.put("HJB162RL凯旋路-永兴路改Q","5589");
spw.put("HCN108RL第一医院门口Q","5588");
spw.put("ZCXR008L万盛家园南门Q","5587");
spw.put("ZJBR052L友谊公寓西门Q","5586");
spw.put("ZJBR040L凯旋公寓东门Q","5585");
spw.put("ZCNR015L玫瑰恬园东门中进Q","5584");
spw.put("HCN062RL第一医院急诊Q","5583");
spw.put("ZJBR047L天河街171号西门Q","5582");
spw.put("HCS859RH杭师大经开附小Q","5581");
spw.put("HCS845RH天润发玛特超市西入口Q","5580");
spw.put("HCS832RH菜鸟网络1期南西门Q","5579");
spw.put("HCS824RH嘉兴老年医疗中心Q","5578");
spw.put("HCS819RH万达华府东区南门Q","5577");
spw.put("HCS818RH春江中心北商铺（东)Q","5576");
spw.put("HCS786RH万达华府东区西大门Q","5575");
spw.put("HCS767RH万达广场地下2层1号电梯Q","5574");
spw.put("HCS764RH云东公寓北门入口Q","5573");
spw.put("HCS758RH久久小区西门Q","5572");
spw.put("HCS757RH紫金艺境东门Q","5571");
spw.put("HCS748RH香缇世家南门Q","5570");
spw.put("HCS747RH英澜名郡西南消防通道Q","5569");
spw.put("HCS743RH英澜名郡北门（出口）Q","5568");
spw.put("HCS741RH尚景蓝湾南门（出口）Q","5567");
spw.put("HCS739RH石堰二期西消防通道Q","5566");
spw.put("HCS737RH石堰南区北大门入口Q","5565");
spw.put("HCS728RH南郊花苑北区南门Q","5564");
spw.put("HCS721RH晶辉酒店大堂Q","5563");
spw.put("HCS715RH大华城市花园北商铺西侧Q","5562");
spw.put("HCS711RH嘉兴大桥南侧辅道Q","5561");
spw.put("HCS709RH绿溪玫瑰园1期南门Q","5560");
spw.put("HCS708RH绿溪玫瑰园2期北门Q","5559");
spw.put("HCS706RH绿溪玫瑰园3期南区北门Q","5558");
spw.put("HCS705RH绿溪玫瑰园3期南消防通道Q","5557");
spw.put("HCS704RH蓝天嘉苑北门Q","5556");
spw.put("HCS703RH隆兴南区东店面隆雪网咖Q","5555");
spw.put("HCS694RH隆兴公寓南区北大门Q","5554");
spw.put("HCS690RH府南花园3期东消防通道Q","5553");
spw.put("HCS686RH东菱阳光乐园南大门Q","5552");
spw.put("HCS681RH大华城市花园南商铺（西Q","5551");
spw.put("HCS679RH新气象路文桥路东南角Q","5550");
spw.put("HCS676RH府南花园东2期北大门Q","5549");
spw.put("HCS673H华发雅苑大门Q","5548");
spw.put("HCS671RH新气象路珠庵路西南角Q","5547");
spw.put("HCS670RH府南花园3期北消防通道Q","5546");
spw.put("HCS669RH府南花园3期北大门Q","5545");
spw.put("HCS665RH府南花园西2期大门Q","5544");
spw.put("HTH563RH长纤塘路茶园桥下Q","5543");
spw.put("HTH569RH周安路乌支港桥东堍2Q","5542");
spw.put("HTH558RH和风路新禾家苑南出口Q","5541");
spw.put("HTH556RH岗山路与平南路交叉口Q","5540");
spw.put("HTH548RH鸣羊路正阳桥Q","5539");
spw.put("HTH542RH嘉闽宾馆南100米Q","5538");
spw.put("HTH545RH茶香坊浴室Q","5537");
spw.put("HTH544RH海之梦休闲会馆Q","5536");
spw.put("HTH543RH锦绣宾馆Q","5535");
spw.put("HTH541RH茶园商务宾馆Q","5534");
spw.put("HTH540RH世博风尚宾馆Q","5533");
spw.put("HTH537RH爱尚网咖（金盛店）Q","5532");
spw.put("HTH536RH青蛙网吧Q","5531");
spw.put("HTH535RH鸣扬网吧Q","5530");
spw.put("HJB781RH洪波路与天河街交叉口东Q","5529");
spw.put("HJB769RH阳光小区南区Q","5528");
spw.put("HJB761RH新中国际Q","5527");
spw.put("HJB730RH夜归人音乐茶庄Q","5526");
spw.put("HJB803RH常秀街洪兴实验学校东桥Q","5525");
spw.put("HJB790RH云海路浙安驾校南2-2Q","5524");
spw.put("HJB786RH昌盛北路吴家桥2Q","5523");
spw.put("HJB783RH百墅路嘉州美都北桥Q","5522");
spw.put("HJB770RH阳海景怡南区Q","5521");
spw.put("HJB765RH嘉兴广电总台南门2Q","5520");
spw.put("HJB749RH杉杉印象Q","5519");
spw.put("HJB742RH迪卡侬体育用品超市Q","5518");
spw.put("HJB737RH杰拉网咖Q","5517");
spw.put("HJB732RH芳草地歌厅--天河街150号Q","5516");
spw.put("HJB731RH茹梦娱乐厅Q","5515");
spw.put("HJB729RH超乐迪KTVQ","5514");
spw.put("HJB726RH云水嘉和足道养身馆Q","5513");
spw.put("HJB725RH梵域足疗Q","5512");
spw.put("HJB724RH华清池浴室Q","5511");
spw.put("HJB721RH云顶国际水汇Q","5510");
spw.put("HJB719RH紫溪浴场Q","5509");
spw.put("HJB717RH天都大浴场Q","5508");
spw.put("HJB714RH创秀沐浴休闲浴场Q","5507");
spw.put("HJB713RH财富商务宾馆Q","5506");
spw.put("HJB712RH逸精品酒店Q","5505");
spw.put("HJB709RH华亭宾馆Q","5504");
spw.put("HJB707RH大洋洲酒店Q","5503");
spw.put("HJB706RH景怡商务宾馆Q","5502");
spw.put("HJB705RH温泰宾馆Q","5501");
spw.put("HJB697RH昌盛北路吴家桥东南角Q","5500");
spw.put("HJB685RH云海路云海网吧门口Q","5499");
spw.put("HJB678RH嘉运桥西北角人行道Q","5498");
spw.put("HJB675RH阳光花贸市场网吧入口Q","5497");
spw.put("HJB667RH北禾大厦北电梯厅Q","5496");
spw.put("HJB652RH万华普曼商务宾馆大门Q","5495");
spw.put("HJB650RH远洋大厦大厅Q","5494");
spw.put("HJB649RH嘉明苑大门Q","5493");
spw.put("HJB648RH置地广场B座电梯厅Q","5492");
spw.put("HJB629RH万事利园区内宿舍路口Q","5491");
spw.put("HJB624RH禾平街472号厂区门口Q","5490");
spw.put("HJB611RH郁金香宾馆大门口Q","5489");
spw.put("HJB609RH苏银国际大厦大门口Q","5488");
spw.put("HJB610RH立达商务宾馆门口Q","5487");
spw.put("HJB604RH科技馆大门口商铺向南Q","5486");
spw.put("HJB603RH天城花园东区消防门Q","5485");
spw.put("HJB600RH水利局西南铺Q","5484");
spw.put("HJB599RH银泰花苑大门对面人行道Q","5483");
spw.put("HJB583RH杉杉印象西商业街入口2Q","5482");
spw.put("HJB582RH杉杉印象西商业街入口1Q","5481");
spw.put("HJB581RH杉杉印象大润发车库入口Q","5480");
spw.put("HJB580RH杉杉印象大润发1楼主入口Q","5479");
spw.put("HJB578RH杉杉印象3号楼大门Q","5478");
spw.put("HJB566RH振兴公寓大门内Q","5477");
spw.put("HJB565RH嘉北街道社区卫生院大门Q","5476");
spw.put("HJB562RH昌盛花园东区消防通道Q","5475");
spw.put("HJB551RH信远朗庭大门Q","5474");
spw.put("HJB544RH紫金凰庭南大门Q","5473");
spw.put("HJB532RH丽池庄园东门Q","5472");
spw.put("HJB522RH新友谊公寓大门Q","5471");
spw.put("HJB520RH市府宿舍大门Q","5470");
spw.put("HJB465RH卫生宿舍大门Q","5469");
spw.put("HJB455RH中环西路洪兴路西北角1Q","5468");
spw.put("HJB450RH秀仁苑大门Q","5467");
spw.put("HJB449RH常秀小区西区大门Q","5466");
spw.put("HJB437RH瑶池足道洪兴路1180Q","5465");
spw.put("HJB434RH紫溪花园南大门Q","5464");
spw.put("HJB428RH禾城世纪花园李菜超市Q","5463");
spw.put("HJB397RH中楠穆溪左岸东区西大门Q","5462");
spw.put("HJB391RH紫园北门Q","5461");
spw.put("HJB390RH米兰风景南大门西侧Q","5460");
spw.put("HJB354RH嘉州美都2期欢聚园西北门Q","5459");
spw.put("HJB353RH嘉州美都2期欢聚园西南门Q","5458");
spw.put("HJB352RH嘉州美都1期东门出口Q","5457");
spw.put("HCN995RH梁林帆一期老运河北桥南Q","5456");
spw.put("HCN994RH320国道文昌西路公交站2Q","5455");
spw.put("HCN993RH320国道文昌西公交站1Q","5454");
spw.put("HCN985RH越秀路南秀广场东公交站Q","5453");
spw.put("HCN982RH御缇湾Q","5452");
spw.put("HCN971RH清华府邸10幢2单元楼梯口Q","5451");
spw.put("HCN961RH五四广场南门口出口Q","5450");
spw.put("HCN958RH龙鼎万达莲花广场公寓楼Q","5449");
spw.put("HCN955RH富悦大酒店东门出口处Q","5448");
spw.put("HCN954RH月星家居南面Q","5447");
spw.put("HCN953RH月星家居西面Q","5446");
spw.put("HCN950RH秀公馆西南角Q","5445");
spw.put("HCN948RH五四广场东门口出口Q","5444");
spw.put("HCN947RH博弈颐高广场足联堂电梯Q","5443");
spw.put("HCN946RH庆春路成吉路公交站2-2Q","5442");
spw.put("HCN945RH安诺网络科技有限公司Q","5441");
spw.put("HCN943RH九峰网咖Q","5440");
spw.put("HCN942RH达达网吧Q","5439");
spw.put("HCN941RH莱尚网吧Q","5438");
spw.put("HCN937RH嘉兴龙虎网吧南门进口2-2Q","5437");
spw.put("HCN936RH嘉兴龙虎网吧南门进口2-1Q","5436");
spw.put("HCN934RH顶尚信息公司2-1Q","5435");
spw.put("HCN933RH辰逸酒店Q","5434");
spw.put("HCN931RH庆春路成吉路公交站2-1Q","5433");
spw.put("HCN929RH名品城朗格商务宾馆2-2Q","5432");
spw.put("HCN926RH荣佳路福特4S店北2-1Q","5431");
spw.put("HCN922RH咖尔商务宾馆Q","5430");
spw.put("HCN917RH嘉兴富悦东门进口3-3Q","5429");
spw.put("HCN915RH文昌路与楫川路交叉口西Q","5428");
spw.put("HCN914RH来往酒店Q","5427");
spw.put("HCN913RH文昌路与楫川路交叉口西Q","5426");
spw.put("HCN910RH爱秀酒店2-2Q","5425");
spw.put("HCN907RH新喜来宾馆2-1Q","5424");
spw.put("HCN903RH浙江欢乐颂酒店2-2Q","5423");
spw.put("HCN901RH南苑E家Q","5422");
spw.put("HCN899RH米莱快捷酒店2-1Q","5421");
spw.put("HCN896RH聊缘宾馆东门进口Q","5420");
spw.put("HCN894RH嘉兴龙珠酒店东门进口Q","5419");
spw.put("HCN893RH铭泰商务宾馆西门进口Q","5418");
spw.put("HCN1017RH腊梅路经开实验小学西Q","5417");
spw.put("HCN1011RH城南路展望路交叉口2-2Q","5416");
spw.put("HCN1010RH城南路展望路交叉口2-1Q","5415");
spw.put("HCN1009RH银河路与长水路交叉口南Q","5414");
spw.put("HCN1004RH天琴路与华严路交叉口Q","5413");
spw.put("HCN1003RH天琴路华严路交叉口2-1Q","5412");
spw.put("HCN1002RH昌盛南路与华严路南Q","5411");
spw.put("HCN1000RH龙舟路与昌盛路桥上2-2Q","5410");
spw.put("HCX399RH万盛家园Q","5409");
spw.put("HCX430RH荔皇酒店Q","5408");
spw.put("HCX409RH顺源路与市场路交叉口西Q","5407");
spw.put("HCX408RH顺源路与市场路交叉口Q","5406");
spw.put("HCX433RH明悦宾馆Q","5405");
spw.put("HCX426RH江通宾馆Q","5404");
spw.put("HCX439RH新国美宾馆Q","5403");
spw.put("HCX386RH新国美宾馆Q","5402");
spw.put("HCX437RH停车场宾馆Q","5401");
spw.put("HCX387RH星月宾馆Q","5400");
spw.put("HCN920RH嘉兴市泰荣酒店2-2Q","5399");
spw.put("HCX400RH明珠宾馆楼梯口Q","5398");
